0.192520000,-0.202075000,0.262422000,0.799332013,0.108328487,-0.530382538,0.260821078
0.191408000,-0.202518000,0.261987000,0.799064617,0.108045015,-0.531315742,0.259856873
0.190146000,-0.203282000,0.261167000,0.798794928,0.108350784,-0.532396281,0.258342739
0.188979000,-0.204325000,0.260265000,0.799019316,0.108750718,-0.532171893,0.257942804
0.188015000,-0.205282000,0.259503000,0.799242504,0.109151325,-0.531948706,0.257542198
0.187169000,-0.206231000,0.258717000,0.799693007,0.109365644,-0.531350663,0.257287237
0.186187000,-0.207158000,0.258009000,0.799766901,0.109499852,-0.531276770,0.257153029
0.185006000,-0.208135000,0.257187000,0.799813537,0.109688770,-0.531560852,0.256339111
0.184193000,-0.208979000,0.256563000,0.800061133,0.110037421,-0.530982538,0.256615459
0.183315000,-0.209733000,0.255881000,0.800207442,0.110306646,-0.530836229,0.256346234
0.182342000,-0.210677000,0.255235000,0.800280394,0.110441369,-0.530763277,0.256211512
0.181378000,-0.211449000,0.254542000,0.800268109,0.111029591,-0.530923101,0.255663931
0.180231000,-0.212450000,0.253674000,0.800309139,0.111216471,-0.531212476,0.254851885
0.179421000,-0.213186000,0.253042000,0.800452506,0.111485712,-0.531069110,0.254582645
0.178565000,-0.214005000,0.252392000,0.800468076,0.112020687,-0.530870338,0.254713385
0.177692000,-0.214832000,0.251742000,0.800666545,0.111890108,-0.530855071,0.254178249
0.176651000,-0.215758000,0.251001000,0.800808563,0.112160062,-0.530713052,0.253908295
0.175627000,-0.216596000,0.250282000,0.800717459,0.112610317,-0.530951049,0.253498424
0.174790000,-0.217363000,0.249554000,0.800928184,0.113015283,-0.530740324,0.253093458
0.173499000,-0.218381000,0.248683000,0.800891046,0.113063638,-0.531106930,0.252419443
0.172463000,-0.219295000,0.247852000,0.801225379,0.113203163,-0.530955172,0.251613873
0.171532000,-0.220141000,0.247106000,0.801306683,0.113874239,-0.530691293,0.251608842
0.170374000,-0.221085000,0.246297000,0.801334701,0.114055598,-0.530992117,0.250801494
0.169241000,-0.222060000,0.245435000,0.801539211,0.114461419,-0.530787607,0.250395673
0.168149000,-0.222892000,0.244710000,0.801438884,0.114906631,-0.531033868,0.249990424
